Year,Ranking,SongName,ArtistName,URL,Lyrics
2008,1,truth,嵐,/song/69920/,"ゆらりゆれる光ひとつ　痛み癒すことなく消える
“I take your life forever, you take my life forever”
ひらり落ちる涙ひとつ　思い届くことなく消える
“I take your life forever, you take my life”
止まらない時に潜む　愛はきっと降り注ぐ雨のように
(こぼれ落ちた涙のあと　凍えそうな涙の色)
戻れない記憶巡る　全て奪われたこの世の果てに
悲しみ…
たとえどんな終わりを描いても　心は謎めいて
それはまるで闇のように　迫る真実
たとえどんな世界を描いても　明日は見えなくて
それはまるで百合のように　汚れを知らない
願いは透明なままで
白く染まる花にひとり　何も変わることなく誓う
“I take your life forever, you take my life”
届かない声に残る　愛はそっと吹きぬける風のように
(こぼれ落ちた涙のあと　隠しきれぬふたつの顔)
終わらない夜に眠る　夢の傷跡に残した痛み
悲しみ…
たとえ僅かな光生まれても　嘆きは繰り返す
それはまるで嘘のように　消える真実
たとえ最後の羽を開いても　運命(さだめ)は変えられず
百合の花は儚げに　痛みは消えない
夢なら愛したままで
悲しみ…
たとえどんな終わりを描いても　心は謎めいて
それはまるで闇のように　迫る真実
たとえどんな世界を描いても　明日は見えなくて
それはまるで百合のように　汚れを知らない
願いは透明なままで"
2008,1,風の向こうへ,嵐,/song/69919/,"雨の向こうへ　風の向こうへ…
涙流すのは　信じてるから
心のノートに　書いた言葉
描いた通りに　いかない時
にじんだ空に　放った言葉
僕の後ろに出来てた道
雨の向こうへ　風の向こうへ　旅は続いていく
今　君の向こうへ　そして僕の向こうへ　道は続いていく
どこかで振り返る　その時が来て
君に話をする　その朝が来て
いつでも精一杯　走って来たって
嘘偽りなく　言えたらいいんだ
僕の目の前に広がる旅
雨の向こうで　風の向こうで　虹がかかっている
今　君の向こうで　そして僕の向こうで　何かが待っている
どうか消えないで繋いだ灯よ　言葉を超え　心を鳴らす
今　風の向こうへ
旅は続いて　この道は続いて
雨の向こうへ　風の向こうへ
旅は続いて　道は続いて…
信じてきたこの自分のために
夢重ねるみんなのために
感謝の言葉　for my family
“I believe”
ただ力の限り
その焦りもいつかは糧に
この痛みも糧に
雨にも風にも負けずにあの痛みや焦り
この日のために
あなたの分の想いも抱いて
階段のぼるよう　上向かって
辛くて　苦しくたって　耐えて
歓声浴びる姿描いて…
光と影その向こうへ　(行こう　向こうへ)
闇を照らす君の声　(頂上の方へ　想いを掲げ)
雨の向こうへ　風の向こうへ　旅は続いていく
今　君の向こうへ　そして僕の向こうへ　道は続いていく
雨の向こうへ　今　風の向こうへ
旅は続いて　この道は続いて
光と影その向こうへ　闇を照らす君の声
雨の向こうへ　今　風の向こうへ
旅は続いて　この道は続いて
雨の向こうへ　今　風の向こうへ
旅は続いて　今は向こうへ！"
2008,2,One Love,嵐,/song/67818/,"伝えたくて　伝わらなくて　時には素直になれずに
泣いた季節を　越えた僕らは　今とても輝いてるよ
それぞれ描く　幸せのかたちは重なり
今　大きな愛になる
ずっと二人で　生きてゆこう
百年先も　愛を誓うよ　君は僕の全てさ
信じている　ただ信じてる　同じ時間(とき)を刻む人へ
どんな君も　どんな僕でも　ひとつひとつが愛しい
君がいれば　何もいらない　きっと幸せにするから
雨の中で君を待ってた　優しさの意味さえ知らず
すれ違いに傷ついた夜　それでもここまで来たんだ
かけがえのない　出逢いは奇跡を繋いでく
思い出　重なりあう
はじまりの歌　鳴り響いて
どんなときも　支えてくれた　笑い泣いた仲間へ
心込めて　ただひとつだけ　贈る言葉はありがとう
百年先も　愛を誓うよ　君は僕の全てさ
愛している　ただ愛してる　同じ明日約束しよう
世界中に　ただ一人だけ　僕は君を選んだ
君といれば　どんな未来も　ずっと輝いているから
ラララ…"
2008,3,I AM YOUR SINGER,サザンオールスターズ,/song/69467/,"I am your singer.
僕の生きがいは
数えきれないその笑顔
「愛の詩(うた)」も「魂の声」も
あなたがくれた
プレゼント
きっと未来はあてなき旅の途中
また逢う日のため笑っておくれ
夏がまた来るまでは
互い涙見せずに
いつまでも変わらぬ想い
遠く離れ離れの
時も「大好きだよ」と
鳴呼　口唇に微笑みを
Oh… いつの日も乗せて!!
I still remember. (Remember)
この素晴らしい (You are my love.)
永遠(とわ)の出逢いを忘れない
ひとりぼっちじゃ夢叶わない
さあみんなで Love Song
アンコール
いつも人生(ザ・ステージ)にゃドラマが待ち受けてる
愛しいその声が僕を呼んでる
歌は熱い叫びか？
甘い囁きなのか？
この胸に響くはメロディ
それは八月末の
空の花火みたいに
鳴呼　咲きながら　散りながら
Oh…　今夜こそキメて!!
夏がまた来るまでは
互い涙見せずに
サヨナラは明日(あした)のために Yeah
遠く離れ離れの
時も「大好きだよ」と
鳴呼　太陽が沈むのを
Oh… Let's sing along.　止めて!!
Woo, la la…
鳴呼　口唇に微笑みを
Oh… いつの日も乗せて!!"
2008,4,キセキ,GReeeeN,/song/65511/,"明日、今日よりも好きになれる　溢れる想いが止まらない
今もこんなに好きでいるのに　言葉に出来ない
君のくれた日々が積み重なり　過ぎ去った日々2人歩いた『軌跡』
僕らの出逢いがもし偶然ならば？　運命ならば？
君に巡り合えた　それって『奇跡』
2人寄り添って歩いて　永久の愛を形にして
いつまでも君の横で　笑っていたくて
アリガトウや　Ah　愛してるじゃまだ足りないけど
せめて言わせて　「幸せです」と
いつも君の右の手の平を　ただ僕の左の手の平が
そっと包んでくそれだけで　ただ愛を感じていた
日々の中で　小さな幸せ　見つけ重ね　ゆっくり歩いた『軌跡』
僕らの出会いは大きな世界で　小さな出来事
巡り合えた　それって『奇跡』
うまく行かない日だって　2人で居れば晴れだって！
強がりや寂しさも　忘れられるから
僕は君でなら　僕で居れるから！
だからいつも　そばにいてよ　『愛しい君へ』
2人フザけあった帰り道　それも大切な僕らの日々
「想いよ届け！！！」と伝えた時に　初めて見せた表情の君
少し間が空いて　君がうなずいて　僕らの心　満たされてく愛で
ぼくらまだ旅の途中で　またこれから先も
何十年続いていけるような未来へ
例えばほら　明日を見失いそうに　僕らなったとしても、、、
2人寄り添って歩いて　永久の愛を形にして
いつまでも君の横で　笑っていたくて
アリガトウや　Ah　愛してるじゃまだ足りないけど
せめて言わせて　「幸せです」と
うまく行かない日だって　2人で居れば晴れだって！
喜びや悲しみも　全て分け合える
君がいるから　生きていけるから！
だからいつも　そばにいてよ　『愛しい君へ』　最後の一秒まで
明日、今日より笑顔になれる　君がいるだけで　そう思えるから
何十年　何百年　何千年　時を超えよう　君を愛してる"
2008,5,羞恥心,羞恥心,/song/63887/,"笑いたきゃ笑うがいい　失敗ばかりだけど
ブルーな気分にはならないのさ
俺は金も勇気も　なにひとつないけれど
力の限り生きてゆくさ
ズタズタにされた　プライドを
捨ててしまえば　明日が見えるはず
ドンマイ　ドンマイ　ドンマイ　ドンマイ
泣かないで
涙なんかは　似合わない
俺の胸に　さあおいで
羞恥心　羞恥心　俺達は
パワーはいつも　どんなときも
負けやしないさ
人生　人生　人生　夢で生きてる
隠し通せやしない　嘘で固めた言葉
メッキ剥げても当たり前なのさ
ありったけの自分を　さらけ出してみるぜ
知識ないと言われてもいい
生まれたことを　喜劇だと
笑い飛ばせば　笑顔がよみがえる
ドンマイ　ドンマイ　ドンマイ　ドンマイ
泣かないで
ためらいなんて　いらないぜ
俺の胸にさあおいで
羞恥心　羞恥心　俺達は
打たれ強さは　どんなときも
負けやしないさ
人生　人生　人生　愛で生きてる
上手く生きてゆけないかも
笑いたければ笑うがいい
俺の大切なプライド
愛した人を泣かせるな
羞恥心持って
羞恥心持って
ドンマイ　ドンマイ　ドンマイ　ドンマイ
泣かないで
涙なんかは　似合わない
俺の胸に　さあおいで
羞恥心　羞恥心　俺達は
パワーはいつも　どんなときも
負けやしないさ
人生　人生　人生　夢で生きてる"
2008,6,HANABI,Mr.Children,/song/70478/,"どれくらいの値打ちがあるだろう？
僕が今生きているこの世界に
すべてが無意味だって思える
ちょっと疲れてんのかなぁ
手に入れたものと引き換えにして
切り捨てたいくつもの輝き
いちいち憂いていれるほど
平和な世の中じゃないし
一体どんな理想を描いたらいい？
どんな希望を抱き進んだらいい？
答えようもないその問いかけは
日常に葬られてく
君がいたらなんていうかなぁ
「暗い」と茶化して笑うのかなぁ
その柔らかな笑顔に触れて
僕の憂鬱が吹き飛んだらいいのに
決して捕まえることの出来ない
花火のような光だとしたって
もう一回　もう一回
もう一回　もう一回
僕はこの手を伸ばしたい
誰も皆　悲しみを抱いてる
だけど素敵な明日を願っている
臆病風に吹かれて　波風がたった世界を
どれだけ愛することができるだろう？
考えすぎで言葉に詰まる
自分の不器用さが嫌い
でも妙に器用に立ち振舞う自分は
それ以上に嫌い
笑っていても
泣いて過ごしても平等に時は流れる
未来が僕らを呼んでる
その声は今　君にも聞こえていますか？
さよならが迎えに来ることを
最初からわかっていたとしたって
もう一回　もう一回
もう一回　もう一回
何度でも君に逢いたい
めぐり逢えたことでこんなに
世界が美しく見えるなんて
想像さえもしていない　単純だって笑うかい？
君に心からありがとうを言うよ
滞らないように　揺れて流れて
透き通ってく水のような
心であれたら
逢いたくなったときの分まで
寂しくなったときの分まで
もう一回　もう一回
もう一回　もう一回
君を強く焼き付けたい
誰も皆　問題を抱えている
だけど素敵な明日を願っている
臆病風に吹かれて　波風がたった世界を
どれだけ愛することができるだろう？
もう一回　もう一回
もう一回　もう一回"
2008,7,そばにいるね,青山テルマ feat.SoulJa,/song/60443/,"あなたのこと　私は今でも思い続けているよ
いくら時流れて行こうと　I'm by your side baby いつでも
So.　どんなに離れていようと
心の中ではいつでも一緒にいるけど　寂しいんだよ
So baby please　ただ hurry back home
Baby boy　あたしはここにいるよ　どこもいかずに待ってるよ
You know dat I love you　だからこそ　心配しなくていいんだよ
どんなに遠くにいても変わらないよこの心
言いたい事わかるでしょ?
あなたのこと待ってるよ
[SoulJa]
んなことよりお前の方は元気か?　ちゃんと飯食ってるか?
ちくしょう、やっぱ言えねぇや
また今度送るよ　俺からのLetter
[青山テルマ]
過ぎ去った時は戻せないけれど　近くにいてくれた君が恋しいの
だけど　あなたとの距離が遠くなる程に　忙しくみせていた
あたし逃げてたの
だけど　目を閉じる時　眠ろうとする時　逃げきれないよ　あなたの事
思い出しては　一人泣いてたの
あなたのこと　私は今でも思い続けているよ
いくら時流れて行こうと　I'm by your side baby いつでも
So.　どんなに離れていようと
心の中ではいつでも一緒にいるけど　寂しいんだよ
So baby please　ただ hurry back home
Baby boy　あたしはここにいるよ　どこもいかずに待ってるよ
You know dat I love you　だからこそ　心配しなくていいんだよ
どんなに遠くにいても変わらないよこの心
言いたい事わかるでしょ?
あなたのこと待ってるよ
[SoulJa]
不器用な俺　遠くにいる君
伝えたい気持ちそのまま言えずに　君は行っちまった
今じゃ残された君はアルバムの中
[青山テルマ]
アルバムの中　納めた思い出の
日々より　何げない一時が　今じゃ恋しいの
And now　あなたからの電話待ち続けていた
携帯にぎりしめながら眠りについた
あたしは　どこも行かないよ　ここにいるけれど
見つめ合いたいあなたのその瞳
ねぇわかるでしょ?　あたし待ってるよ
Baby boy　あたしはここにいるよ　どこもいかずに待ってるよ
You know dat I love you　だからこそ　心配しなくていいんだよ
どんなに遠くにいても変わらないよこの心
言いたい事わかるでしょ?
あなたのこと待ってるよ
[SoulJa]
俺はどこも行かないよ　ここにいるけれど　探し続けるあなたの顔
Your 笑顔　今でも触れそうだって思いながら手を伸ばせば　君は
あなたのこと　私は今でも思い続けているよ
いくら時流れて行こうと　I'm by your side baby いつでも
So.　どんなに離れていようと
心の中ではいつでも一緒にいるけど　寂しいんだよ
So baby please　ただ hurry back home
あなたのこと　私は今でも思い続けているよ
いくら時流れて行こうと　I'm by your side baby いつでも
So.　どんなに離れていようと
心の中ではいつでも一緒にいるけど　寂しいんだよ
So baby please　ただ hurry back home"
2008,8,DON’T U EVER STOP,KAT-TUN,http://j-lyric.net/artist/a0076ef/l00d720.html,"誰も知らないStory　話してよSlowly　上手く言えないけど　一人じゃない
忘れられない想い　その迷い　俺が全部抱いて　出かけよう
裏切りの街角に　咲いた君の花
感じた夜は　正直に　欲しがって
Don't u ever stop　わかってるDon't stop
運命はDon't stop　誰もみんなかみしめている
Stop　傷ついてTop　この街に憧れて　迷い込んだ
ふたり　夜数えて　ここで生きてきた
これが最後の恋だから　まっすぐ見つめて
Don't u ever stop
I wanna tell u secrets　一度きりの　Party始まる　Tonight×2
失うもの無いぜ　戻れないぜ　全てを賭けて　Let the show begin
ためらいの路地裏に　揺れる君の花
わかってることは　言わないで　虚しいだけ
Don't u ever stop　わかってるDon't stop
運命はDon't stop　誰もみんなかみしめている
Stop　傷ついてTop　旅立ったあの日から
Don't u ever...
Stop　わかってるDon't stop
運命はDon't stop　誰もみんなかみしめている
Stop　傷ついてTop　まっすぐに見つめて
Don't u ever stop
From千葉　サイコラッパー　ないぜ半端
今日もNo.1はやっぱ分かれAnswer
Po Po　止めてみな　鳴らすサイレン
本物　固唾飲み　うならすSilent
Yeah　日の丸背負い Lock on　生きろRock道
ガキの頃描いてたダサい大人に「Anybody home?」
Knock! Knock! Knock!
Yeah　Ever stop　Never stop　Come on
Don't stop baby　1985時刻0時代
From Asia East side 込めた期待
Don't u ever stop　わかってるDon't stop
運命はDon't stop　誰もみんなかみしめている
Stop 傷ついてTop　旅立ったあの日から
Don't u ever stop
まっすぐに見つめて　Don't u ever stop
Stop"
2008,9,LIPS,KAT-TUN,/song/61433/,"Love　君の未来　二つに分かれて…
電話鳴り続けた　家を抜け出してた
どこで君に逢える?　伝えたいことばかり
なぜ逢えば逢うほどに　心はちぎれそうになる　Every Time
その赤く染まるLips(くちびる)　近づけて壊したい　激しく
そのままで　そのままで　自分だけ責めないで
この手を離さないで
だけど傷つけたね　不意に君が泣いた
“ごめん”優しい雨が　迷う二人濡らす
もう一人きりじゃない　こんなに心奪われた　All of you
その赤く染まるLips(くちびる)　近づけて壊したい　激しく
めぐりめぐる季節が　君だけを変えてゆく
この手を離さないで
“I need da kiss”から始まるLips　その魅惑のLips
Hittin da heart　This is a sick
なぜ逢えば逢うほどに　心はちぎれそうになる　Every Time
その赤く染まるLips(くちびる)　近づけて壊したい　激しく
そのままで　そのままで　自分だけ責めないで
この手を離さないで"
