ArtistName,Ranking,SongName,Year
嵐,1,truth,2008
嵐,1,風の向こうへ,2008
嵐,2,One Love,2008
サザンオールスターズ,3,I AM YOUR SINGER,2008
GReeeeN,4,キセキ,2008
羞恥心,5,羞恥心,2008
Mr.Children,6,HANABI,2008
青山テルマ feat.SoulJa,7,そばにいるね,2008
KAT-TUN,8,DON’T U EVER STOP,2008
KAT-TUN,9,LIPS,2008
嵐,10,Beautiful days,2008
関ジャニ∞,11,無責任ヒーロー,2008
嵐,12,Step and Go,2008
すぎもとまさと,13,吾亦紅,2008
藤岡藤巻と大橋のぞみ,14,崖の上のポニョ,2008
Mr.Children,15,GIFT,2008
羞恥心,16,泣かないで,2008
EXILE,17,Ti Amo,2008
NEWS,19,太陽のナミダ,2008
アラジン,20,陽は、また昇る,2008
Hey!Say!JUMP,21,真夜中のシャドーボーイ,2008
ジェロ,22,海雪,2008
NEWS,23,SUMMER TIME,2008
KAT-TUN,24,White X’mas,2008
Hey!Say!JUMP,25,Dreams come true,2008
NEWS,26,Happy Birthday,2008
関ジャニ∞,27,ワッハッハー,2008
KinKi Kids,28,Secret Code,2008
コブクロ,29,時の足音,2008
EXILE,30,LAST CHRISTMAS,2008
Hey!Say!JUMP,31,Your Seed,2008
Hey!Say!JUMP,31,冒険ライダー,2008
B’z,32,BURN-フメツノフェイス-,2008
浜崎あゆみ,33,Mirrorcle World,2008
Aqua Timez,34,虹,2008
SMAP,35,弾丸ファイター,2008
福山雅治,36,想 -new love new world-,2008
秋元順子,37,愛のままで…,2008
EXILE,38,You’re my sunshine,2008
EXILE,38,Pure,2008
SMAP,39,そのまま,2008
SMAP,39,White Message,2008
UVERworld,40,儚くも永久のカナシ,2008
氷川きよし,41,玄海船歌,2008
絢香×コブクロ,42,あなたと,2008
V6,43,way of life,2008
マキシマム ザ ホルモン,44,爪爪爪,2008
マキシマム ザ ホルモン,44,「F」,2008
アンジェラ・アキ,45,手紙 ～拝啓 十五の君へ～,2008
倖田來未,46,MOON,2008
Perfume,47,love the world,2008
L’Arc～en～Ciel,48,NEXUS 4,2008
L’Arc～en～Ciel,48,SHINE,2008
SMAP,49,この瞬間、きっと夢じゃない,2008
清水翔太,50,HOME,2008
米寿司,51,No more,2008
L’Arc～en～Ciel,52,DRINK IT DOWN,2008
水森かおり,53,輪島朝市,2008
ケツメイシ,54,出会いのかけら,2008
天童よしみ,55,幸せはすぐそこに…,2008
May'n / 中島愛,56,ライオン,2008
木山裕策,57,home,2008
GLAY,58,VERB,2008
RADWIMPS,59,オーダーメイド,2008
YUI,60,SUMMER SONG,2008
YUI,61,Namidairo,2008
山下達郎,63,ずっと一緒さ,2008
テゴマス,64,アイアイ傘,2008
秋川雅史,65,千の風になって,2008
シェリル・ノーム starring May’n,66,ダイアモンド クレバス,2008
シェリル・ノーム starring May’n,66,射手座☆午後九時Don’t be late,2008
aiko,67,KissHug,2008
ORANGE RANGE,68,O2,2008
V6,69,LIGHT IN YOUR HEART,2008
V6,69,Swing!,2008
KOH+,70,最愛,2008
V6,71,蝶,2008
UVERworld,72,激動,2008
UVERworld,72,Just break the limit!,2008
東方神起,73,Beautiful you,2008
東方神起,73,千年恋歌,2008
244 ENDLI-x,74,Kurikaesu 春,2008
矢島美容室,75,ニホンノミカタ -ネバダカラキマシタ-,2008
坂本真綾,76,トライアングラー,2008
氷川きよし,77,哀愁の湖,2008
東方神起,78,どうして君を好きになってしまったんだろう?,2008
VAMPS,79,LOVE ADDICT,2008
Perfume,80,Dream Fighter,2008
GLAY,81,紅と黒のMATADORA,2008
GLAY,81,I LOVE YOUをさがしてる,2008
いきものがかり,82,ブルーバード,2008
ランカ・リー=中島愛,83,星間飛行,2008
タッキー&翼,84,恋詩-コイウタ-,2008
タッキー&翼,84,PROGRESS,2008
ポルノグラフィティ,85,あなたがここにいたら,2008
倖田來未,86,TABOO,2008
T.M.Revolution,87,resonance,2008
新垣結衣,88,Make my day,2008
ZARD,89,グロリアス マインド,2008
ZARD,90,翼を広げて,2008
ZARD,90,愛は暗闇の中で,2008
東方神起,91,呪文-MIROTIC-,2008
ゆず,92,ストーリー,2008
童子-T,93,もう一度… feat.BENI,2008
aiko,94,二人,2008
宇多田ヒカル,95,Prisoner Of Love,2008
モモタロス・ウラタロス・キンタロス・リュウタロス・デネブ,96,Double-Action CLIMAX form,2008
ポルノグラフィティ,97,ギフト,2008
ポルノグラフィティ,98,痛い立ち位置,2008
Spontania feat.JUJU,99,君のすべてに,2008
水樹奈々,100,Trickster,2008
嵐,1,Believe,2009
矢野健太 starring Satoshi Ohno,1,曇りのち、快晴,2009
嵐,2,明日の記憶,2009
嵐,2,Crazy Moon～キミ・ハ・ムテキ～,2009
嵐,3,マイガール,2009
秋元順子,4,愛のままで…,2009
嵐,5,Everything,2009
B’z,6,イチブトゼンブ,2009
B’z,6,DIVE,2009
KAT-TUN,7,RESCUE,2009
遊助,8,ひまわり,2009
KAT-TUN,9,ONE DROP,2009
関ジャニ∞,10,急☆上☆Show!!,2009
NEWS,11,恋のABO,2009
EXILE,12,FIREWORKS,2009
中山優馬 w/B.I.Shadow,13,悪魔な恋,2009
NYC boys,13,NYC,2009
EXILE,14,Someday,2009
EXILE,15,ふたつの唇,2009
山下智久,16,Loveless,2009
遊助,17,たんぽぽ,2009
遊助,17,海賊船,2009
遊助,17,其の拳,2009
LANDS,18,BANDAGE,2009
羞恥心,19,弱虫サンタ,2009
B’z,20,MY LONELY TOWN,2009
東方神起,21,Stand by U,2009
AKB48,22,RIVER,2009
KinKi Kids,23,約束,2009
福山雅治,24,化身,2009
氷川きよし,25,浪曲一代,2009
浜崎あゆみ,26,Days,2009
浜崎あゆみ,26,GREEN,2009
氷川きよし,27,ときめきのルンバ,2009
KinKi Kids,28,スワンソング,2009
BUMP OF CHICKEN,29,R.I.P.,2009
BUMP OF CHICKEN,29,Merry Christmas,2009
東方神起,30,Share The World,2009
東方神起,30,ウィーアー!,2009
堂本光一,31,妖 ～あやかし～,2009
JEJUNG & YUCHUN(from 東方神起),32,COLORS ～Melody and Harmony～,2009
JEJUNG & YUCHUN(from 東方神起),32,Shelter,2009
桜高軽音部,33,Don’t say “lazy”,2009
YUI,34,again,2009
桜高軽音部,35,Cagayake!GIRLS,2009
ポルノグラフィティ,36,今宵、月が見えずとも,2009
遊助,37,いちょう,2009
AKB48,39,涙サプライズ!,2009
GReeeeN,40,遥か,2009
SMAP,41,そっと きゅっと,2009
SMAP,41,スーパースター★,2009
水森かおり,42,安芸の宮島,2009
浜崎あゆみ,43,Rule,2009
浜崎あゆみ,43,Sparkle,2009
GReeeeN,44,歩み,2009
安室奈美恵,45,WILD,2009
安室奈美恵,45,Dr.,2009
フレンズ&ヘキサゴンオールスターズ,46,泣いてもいいですか,2009
AKB48,47,言い訳Maybe,2009
The SHIGOTONIN,48,鏡花水月,2009
東方神起,49,Bolero,2009
東方神起,49,Kiss The Baby Sky,2009
東方神起,49,忘れないで,2009
浜崎あゆみ,50,Sunrise,2009
浜崎あゆみ,50,Sunset ～LOVE is ALL～,2009
YUI,51,It’s all too much,2009
YUI,51,Never say die,2009
樋口了一,52,手紙 ～親愛なる子供たちへ～,2009
ヒルクライム,53,春夏秋冬,2009
AKB48,54,10年桜,2009
シド,55,嘘,2009
コブクロ,56,虹,2009
aiko,57,milk,2009
aiko,57,嘆きのキス,2009
GLAY,58,SAY YOUR DREAM,2009
Perfume,59,ワンルーム・ディスコ,2009
テゴマス,60,七夕祭り,2009
倖田來未×misono,61,It’s all Love!,2009
ゆず,62,逢いたい,2009
Gackt,63,Journey through the Decade,2009
GReeeeN,64,刹那,2009
東方神起,65,Survivor,2009
いきものがかり,66,YELL,2009
いきものがかり,66,じょいふる,2009
GLAY,68,I am xxx,2009
コブクロ,69,STAY,2009
加藤ミリヤ×清水翔太,70,Love Forever,2009
アンジェラ・アキ,71,手紙 ～拝啓 十五の君へ～,2009
supercell,72,君の知らない物語,2009
桜高軽音部,73,ふわふわ時間,2009
堂本剛,74,RAIN,2009
V6,75,スピリット,2009
平原綾香,76,ノクターン,2009
平原綾香,76,カンパニュラの恋,2009
UNICORN,77,WAO!,2009
V6,78,GUILTY,2009
椎名林檎,79,ありあまる富,2009
滝沢秀明,80,愛・革命,2009
桑田佳祐,81,君にサヨナラを,2009
DREAMS COME TRUE feat.FUZZY CONTROL,82,その先へ,2009
モーニング娘。,83,なんちゃって恋愛,2009
UVERworld,84,GO-ON,2009
flumpool,85,星に願いを,2009
UVERworld,86,哀しみはきっと,2009
平井堅,87,僕は君に恋をする,2009
倖田來未,88,stay with me,2009
ゆず,89,虹,2009
ポルノグラフィティ,90,この胸を、愛を射よ,2009
GReeeeN,91,キセキ,2009
VAMPS,92,I GOTTA KICK START NOW,2009
剛 紫,93,空 ～美しい我の空,2009
ポルノグラフィティ,94,アニマロッサ,2009
水樹奈々,95,深愛,2009
秋元順子,96,黄昏Love again,2009
Acid Black Cherry,97,眠り姫,2009
ステレオポニー,98,泪のムコウ,2009
水樹奈々,99,夢幻,2009
FUNKY MONKEY BABYS,100,ヒーロー,2009
FUNKY MONKEY BABYS,100,明日へ,2009
AKB48,1,Beginner,2010
AKB48,2,ヘビーローテーション,2010
嵐,3,Troublemaker,2010
嵐,4,Monster,2010
AKB48,5,ポニーテールとシュシュ,2010
嵐,6,果てない空,2010
嵐,7,Love Rainbow,2010
AKB48,8,チャンスの順番,2010
嵐,9,Dear Snow,2010
嵐,10,To be free,2010
KAT-TUN,11,Love yourself-君が嫌いな君が好き-,2010
AKB48,12,桜の栞,2010
SMAP,13,This is love,2010
坂本冬美,14,また君に恋してる,2010
坂本冬美,14,アジアの海賊,2010
関ジャニ∞,15,LIFE～目の前の向こうへ～,2010
東方神起,16,BREAK OUT!,2010
KAT-TUN,17,Going!,2010
関ジャニ∞,18,Wonderful World!!,2010
福山雅治,19,はつ恋,2010
KAT-TUN,20,CHANGE UR WORLD,2010
Hey!Say!JUMP,21,瞳のスクリーン,2010
福山雅治,22,蛍,2010
福山雅治,22,少年,2010
EXILE,23,I Wish For You,2010
氷川きよし,24,三味線旅がらす,2010
NEWS,25,さくらガール,2010
東方神起,26,時ヲ止メテ,2010
EXILE,27,もっと強く,2010
山下智久,29,One in a million,2010
怪物くん(怪物太郎),30,ユカイツーカイ怪物くん,2010
KinKi Kids,31,Family～ひとつになること,2010
NEWS,32,Fighting Man,2010
いきものがかり,33,ありがとう,2010
オンナラブリー,34,Onaraはずかしくないよ,2010
氷川きよし,35,虹色のバイヨン,2010
BUMP OF CHICKEN,36,HAPPY,2010
BUMP OF CHICKEN,37,魔法の料理 ～君から君へ～,2010
Lia,38,"My Soul,Your Beats!",2010
多田葵,38,Brave Song,2010
