ArtistName,Ranking,SongName,URL,Year
KAT-TUN,8,DON’T U EVER STOP,http://j-lyric.net/artist/a0076ef/l00d720.html,2008
KAT-TUN,24,White X’mas,http://j-lyric.net/artist/a0076ef/l01453b.html,2008
B’z,32,BURN-フメツノフェイス-,http://j-lyric.net/artist/a00067d/l00d0ce.html,2008
EXILE,38,You’re my sunshine,http://j-lyric.net/artist/a000607/l00da2c.html,2008
倖田來未,46,MOON,http://j-lyric.net/artist/a0006b2/l00da57.html,2008
L’Arc～en～Ciel,48,NEXUS 4,http://j-lyric.net/artist/a000723/l00e4c3.html,2008
L’Arc～en～Ciel,48,SHINE,http://j-lyric.net/artist/a000723/l00e4c4.html,2008
SMAP,49,この瞬間、きっと夢じゃない,http://j-lyric.net/artist/a002907/l00e63c.html,2008
L’Arc～en～Ciel,52,DRINK IT DOWN,http://j-lyric.net/artist/a000723/l00cea5.html,2008
シェリル・ノーム starring May’n,66,ダイアモンド クレバス,http://j-lyric.net/artist/a04dd1f/l00d5ca.html,2008
シェリル・ノーム starring May’n,66,射手座☆午後九時Don’t be late,http://j-lyric.net/artist/a04dd1f/l00e2f9.html,2008
KOH+,70,最愛,http://j-lyric.net/artist/a04d45d/l00eded.html,2008
矢島美容室,75,ニホンノミカタ -ネバダカラキマシタ-,http://j-lyric.net/artist/a04ebbe/l0137e2.html,2008
東方神起,78,どうして君を好きになってしまったんだろう?,http://j-lyric.net/artist/a005118/l00e053.html,2008
ランカ・リー=中島愛,83,星間飛行,http://j-lyric.net/artist/a04e004/l00df82.html,2008
B’z,6,イチブトゼンブ,http://j-lyric.net/artist/a00067d/l01a5be.html,2009
B’z,6,DIVE,http://j-lyric.net/artist/a00067d/l01a5bf.html,2009
B’z,20,MY LONELY TOWN,http://j-lyric.net/artist/a00067d/l01c0a5.html,2009
桜高軽音部,33,Don’t say “lazy”,http://j-lyric.net/artist/a0506cd/l017702.html,2009
AKB48,39,涙サプライズ!,http://j-lyric.net/artist/a04cb7c/l01930f.html,2009
浜崎あゆみ,50,Sunrise,http://j-lyric.net/artist/a000617/l01a313.html,2009
YUI,51,It’s all too much,http://j-lyric.net/artist/a000715/l01b079.html,2009
樋口了一,52,手紙 ～親愛なる子供たちへ～,http://j-lyric.net/artist/a00bb19/l01158e.html,2009
倖田來未×misono,61,It’s all Love!,http://j-lyric.net/artist/a050350/l016357.html,2009
堂本剛,74,RAIN,http://j-lyric.net/artist/a000ab5/l01be7e.html,2009
DREAMS COME TRUE feat.FUZZY CONTROL,82,その先へ,http://j-lyric.net/artist/a051b6f/l01aa80.html,2009
KAT-TUN,11,Love yourself-君が嫌いな君が好き-,http://j-lyric.net/artist/a0076ef/l01ee37.html,2010
KinKi Kids,31,Family～ひとつになること,http://j-lyric.net/artist/a0015e5/l02356d.html,2010
SKE48,41,1!2!3!4! ヨロシク!,http://j-lyric.net/artist/a05197d/l0233ad.html,2010
NYC,54,勇気100%,http://j-lyric.net/artist/a053a0f/l01ff3c.html,2010
L’Arc～en～Ciel,61,BLESS,http://j-lyric.net/artist/a000723/l01e2b3.html,2010
浜崎あゆみ,71,L,http://j-lyric.net/artist/a000617/l00bf57.html,2010
三代目 J Soul Brothers,88,Best Friend’s Girl,http://j-lyric.net/artist/a0548db/l023323.html,2010
ゆず,91,桜会(さくらえ),http://j-lyric.net/artist/a000614/l01eaab.html,2010
薫と友樹、たまにムック。,8,マル・マル・モリ・モリ!,http://j-lyric.net/artist/a055301/l025143.html,2011
NMB48,13,オーマイガー!,http://j-lyric.net/artist/a0555ea/l0267ee.html,2011
KARA,25,GO GO サマー!,http://j-lyric.net/artist/a054379/l02568f.html,2011
B’z,28,Don’t Wanna Lie,http://j-lyric.net/artist/a00067d/l025230.html,2011
B’z,44,さよなら傷だらけの日々よ,http://j-lyric.net/artist/a00067d/l024938.html,2011
