ArtistName,Ranking,SongName,URL,Year
嵐,1,truth,/song/69920/,2008
嵐,1,風の向こうへ,/song/69919/,2008
嵐,2,One Love,/song/67818/,2008
サザンオールスターズ,3,I AM YOUR SINGER,/song/69467/,2008
GReeeeN,4,キセキ,/song/65511/,2008
羞恥心,5,羞恥心,/song/63887/,2008
Mr.Children,6,HANABI,/song/70478/,2008
青山テルマ feat.SoulJa,7,そばにいるね,/song/60443/,2008
KAT-TUN,8,DON’T U EVER STOP,,2008
KAT-TUN,9,LIPS,/song/61433/,2008
嵐,10,Beautiful days,/song/72439/,2008
関ジャニ∞,11,無責任ヒーロー,/song/72255/,2008
嵐,12,Step and Go,/song/61917/,2008
すぎもとまさと,13,吾亦紅,/song/58223/,2008
藤岡藤巻と大橋のぞみ,14,崖の上のポニョ,/song/59165/,2008
Mr.Children,15,GIFT,/song/69262/,2008
羞恥心,16,泣かないで,/song/67500/,2008
EXILE,17,Ti Amo,/song/71028/,2008
NEWS,19,太陽のナミダ,/song/62283/,2008
アラジン,20,陽は、また昇る,/song/69273/,2008
Hey!Say!JUMP,21,真夜中のシャドーボーイ,/song/72023/,2008
ジェロ,22,海雪,/song/61898/,2008
NEWS,23,SUMMER TIME,/song/65611/,2008
KAT-TUN,24,White X’mas,,2008
Hey!Say!JUMP,25,Dreams come true,/song/65947/,2008
NEWS,26,Happy Birthday,/song/71342/,2008
関ジャニ∞,27,ワッハッハー,/song/62887/,2008
KinKi Kids,28,Secret Code,/song/70127/,2008
コブクロ,29,時の足音,/song/72257/,2008
EXILE,30,LAST CHRISTMAS,/song/73284/,2008
Hey!Say!JUMP,31,Your Seed,/song/68988/,2008
Hey!Say!JUMP,31,冒険ライダー,/song/68987/,2008
B’z,32,BURN-フメツノフェイス-,,2008
浜崎あゆみ,33,Mirrorcle World,/song/63411/,2008
Aqua Timez,34,虹,/song/64412/,2008
SMAP,35,弾丸ファイター,/song/59673/,2008
福山雅治,36,想 -new love new world-,/song/71993/,2008
秋元順子,37,愛のままで…,/song/60710/,2008
EXILE,38,You’re my sunshine,,2008
EXILE,38,Pure,/song/61048/,2008
SMAP,39,そのまま,/song/62587/,2008
SMAP,39,White Message,/song/62588/,2008
UVERworld,40,儚くも永久のカナシ,/song/72586/,2008
氷川きよし,41,玄海船歌,/song/61314/,2008
絢香×コブクロ,42,あなたと,/song/71027/,2008
V6,43,way of life,/song/59412/,2008
マキシマム ザ ホルモン,44,爪爪爪,/song/68550/,2008
マキシマム ザ ホルモン,44,「F」,/song/69268/,2008
アンジェラ・アキ,45,手紙 ～拝啓 十五の君へ～,/song/70553/,2008
倖田來未,46,MOON,,2008
Perfume,47,love the world,/song/68467/,2008
L’Arc～en～Ciel,48,NEXUS 4,,2008
L’Arc～en～Ciel,48,SHINE,,2008
SMAP,49,この瞬間、きっと夢じゃない,,2008
清水翔太,50,HOME,/song/60947/,2008
米寿司,51,No more,/song/65474/,2008
L’Arc～en～Ciel,52,DRINK IT DOWN,,2008
水森かおり,53,輪島朝市,/song/63505/,2008
ケツメイシ,54,出会いのかけら,/song/60767/,2008
天童よしみ,55,幸せはすぐそこに…,/song/62841/,2008
May'n / 中島愛,56,ライオン,/song/69942/,2008
木山裕策,57,home,/song/61260/,2008
GLAY,58,VERB,/song/67097/,2008
RADWIMPS,59,オーダーメイド,/song/60772/,2008
YUI,60,SUMMER SONG,/song/67447/,2008
YUI,61,Namidairo,/song/60663/,2008
山下達郎,63,ずっと一緒さ,/song/60985/,2008
テゴマス,64,アイアイ傘,/song/67430/,2008
秋川雅史,65,千の風になって,/song/50939/,2008
シェリル・ノーム starring May’n,66,ダイアモンド クレバス,,2008
シェリル・ノーム starring May’n,66,射手座☆午後九時Don’t be late,,2008
aiko,67,KissHug,/song/68618/,2008
ORANGE RANGE,68,O2,/song/65750/,2008
V6,69,LIGHT IN YOUR HEART,/song/70787/,2008
V6,69,Swing!,/song/70788/,2008
KOH+,70,最愛,,2008
V6,71,蝶,/song/66151/,2008
UVERworld,72,激動,/song/66432/,2008
UVERworld,72,Just break the limit!,/song/66433/,2008
東方神起,73,Beautiful you,/song/63897/,2008
東方神起,73,千年恋歌,/song/63898/,2008
244 ENDLI-x,74,Kurikaesu 春,/song/64150/,2008
矢島美容室,75,ニホンノミカタ -ネバダカラキマシタ-,,2008
坂本真綾,76,トライアングラー,/song/65252/,2008
氷川きよし,77,哀愁の湖,/song/71223/,2008
東方神起,78,どうして君を好きになってしまったんだろう?,,2008
VAMPS,79,LOVE ADDICT,/song/68162/,2008
Perfume,80,Dream Fighter,/song/73038/,2008
GLAY,81,紅と黒のMATADORA,/song/69932/,2008
GLAY,81,I LOVE YOUをさがしてる,/song/69933/,2008
