word_ja	word_ko
今:名詞|いま:名詞	지금:NNG|이제:NNG
夢:名詞|ゆめいっぱい:名詞	꿈:NNG
愛:名詞|恋:名詞|愛してる:名詞|恋と愛:名詞	사랑:NNG
いい:形容詞|よい:形容詞|良い:形容詞|イイ:形容詞|素晴らしい:形容詞|いい:動詞	좋:VA
心:名詞|こころ:名詞|ココロ:名詞	마음:NNG|맘:NNG
行く:動詞|いく:動詞|ゆく:動詞|行ける:動詞|いける:動詞	가:VV
手:名詞	손:NNG|손길:NNG
見る:動詞|みる:動詞|見つめる:動詞|見上げる:動詞|眺める:動詞	보:VV|쳐다보:VV|바라보:VV|올려다보:VV
時:名詞|頃:名詞	때:NNG|그때:NNG
中:名詞|なか:名詞|奥:名詞	속:NNG|안:NNG
くれる:動詞|やる:動詞|あげる:動詞	주:VV
胸:名詞|むね:名詞	가슴:NNG|품:NNG
信じる:動詞	믿:VV
世界:名詞|この世:名詞|世の中:名詞	세상:NNG|이세상:NNP|세계:NNG
生きる:動詞|生きてゆく:名詞	살:VV|살아가:VV
未来:名詞|みらい:名詞|未来へ:名詞	미래:NNG
人:名詞|ひと:名詞|者:名詞	사람:NNG
知る:動詞|わかる:動詞|分かる:動詞|解る:動詞	알:VV
空:名詞|青空:名詞|青い空:名詞	하늘:NNG
目:名詞	눈:NNG
笑う:動詞|微笑む:動詞|笑える:動詞|わらう:動詞	웃:VV
事:名詞	일:NNG
明日:名詞|あした:名詞|あす:名詞|明日へ:名詞	내일:NNG
くる:動詞|来る:動詞|やってくる:動詞	오:VV|찾아오:VV
変わる:動詞	변하:VV|바뀌:VV
まま:名詞|このまま:名詞	이대로:NNP
今日:名詞	오늘:NNG
言葉:名詞	말:NNG
涙:名詞|涙。:名詞	눈물:NNG
強い:形容詞	강하:VA
日:名詞	날:NNG
声:名詞	목소리:NNG
想い:名詞|思い:名詞	생각:NNG
夜:名詞	밤:NNG
泣く:動詞	울:VV
見える:動詞|みせる:動詞	보이:VV
笑顔:名詞|笑み:名詞|えがお:名詞	미소:NNG
忘れる:動詞|忘れ去る:動詞	잊:VV|잊어버리:VV|까먹:VV
皆:名詞|みんな:名詞|全て:名詞|すべて:名詞|全部:名詞	전부:NNG|모두:NNG
終わる:動詞	끝나:VV
消える:動詞	사라지:VV|꺼지:VV
風:名詞	바람:NNG
待つ:動詞	기다리:VV
探す:動詞|見つける:動詞|求める:動詞	찾:VV
道:名詞|通り:名詞	길:NNG
一:名詞|ひとつ:名詞|一つ:名詞	하나:NNG
思う:動詞|おもう:動詞|思える:動詞|考える:動詞	생각나:VV
